split_seed,method,scope,precision,recall,f1,auroc,n,positives
20260405,One-Class SVM,all_faults,0.3761467889908257,0.968503937007874,0.5418502202643172,0.981368062604141,2400,127
20260405,One-Class SVM,motor_stall,0.0892857142857142,1.0,0.1639344262295081,0.9966234051913768,2293,20
20260405,One-Class SVM,gradual_sensor_drift,0.1091703056768559,1.0,0.1968503937007874,0.9973603167619886,2298,25
20260405,One-Class SVM,accelerated_battery_degradation,0.1168831168831168,1.0,0.2093023255813953,0.9915025011813398,2300,27
20260405,One-Class SVM,gps_jitter_spoofing,0.1319148936170212,0.8857142857142857,0.2296296296296296,0.9447803406448368,2308,35
20260405,One-Class SVM,intermittent_software_hang,0.0892857142857142,1.0,0.1639344262295081,0.9964694236691598,2293,20
20260405,LOF,all_faults,0.4214046822742475,0.9921259842519684,0.5915492957746479,0.9918107464899488,2400,127
20260405,LOF,motor_stall,0.1036269430051813,1.0,0.1877934272300469,0.9974483062032556,2293,20
20260405,LOF,gradual_sensor_drift,0.1262626262626262,1.0,0.2242152466367713,0.9983809942806864,2298,25
20260405,LOF,accelerated_battery_degradation,0.135,1.0,0.237885462555066,0.992309071059621,2300,27
20260405,LOF,gps_jitter_spoofing,0.1642512077294686,0.9714285714285714,0.2809917355371901,0.9811953994092136,2308,35
20260405,LOF,intermittent_software_hang,0.1036269430051813,1.0,0.1877934272300469,0.9958644962604486,2293,20
20260405,LSTM Autoencoder,all_faults,0.4088050314465409,0.5855855855855856,0.4814814814814814,0.8561652742837412,2120,111
20260405,LSTM Autoencoder,motor_stall,0.0961538461538461,1.0,0.175438596491228,0.9920856147336984,2019,10
20260405,LSTM Autoencoder,gradual_sensor_drift,0.2100840336134453,1.0,0.3472222222222222,0.9905425584868092,2034,25
20260405,LSTM Autoencoder,accelerated_battery_degradation,0.0,0.0,0.0,0.6743542945633538,2036,27
20260405,LSTM Autoencoder,gps_jitter_spoofing,0.175438596491228,0.5714285714285714,0.2684563758389262,0.8512550664865249,2044,35
20260405,LSTM Autoencoder,intermittent_software_hang,0.0961538461538461,0.7142857142857143,0.1694915254237288,0.8820308611249378,2023,14
20260406,Isolation Forest,all_faults,0.4285714285714285,0.3065693430656934,0.3574468085106383,0.8367518086900988,2400,137
20260406,Isolation Forest,motor_stall,0.3253012048192771,0.7714285714285715,0.4576271186440678,0.982829366832902,2298,35
20260406,Isolation Forest,gradual_sensor_drift,0.0,0.0,0.0,0.8664857016602487,2284,21
20260406,Isolation Forest,accelerated_battery_degradation,0.0,0.0,0.0,0.7598150854889697,2289,26
20260406,Isolation Forest,gps_jitter_spoofing,0.0,0.0,0.0,0.6207754373905501,2290,27
20260406,Isolation Forest,intermittent_software_hang,0.2112676056338028,0.5357142857142857,0.303030303030303,0.911558613723881,2291,28
20260406,One-Class SVM,all_faults,0.5775862068965517,0.978102189781022,0.7262872628726287,0.9833548903174198,2400,137
20260406,One-Class SVM,motor_stall,0.2631578947368421,1.0,0.4166666666666667,0.9959409128211604,2298,35
20260406,One-Class SVM,gradual_sensor_drift,0.1764705882352941,1.0,0.3,0.9959177661342928,2284,21
20260406,One-Class SVM,accelerated_battery_degradation,0.2096774193548387,1.0,0.3466666666666667,0.9917145382235968,2289,26
20260406,One-Class SVM,gps_jitter_spoofing,0.2032520325203252,0.925925925925926,0.3333333333333333,0.9413266558648794,2290,27
20260406,One-Class SVM,intermittent_software_hang,0.216,0.9642857142857144,0.3529411764705882,0.990964901205732,2291,28
20260406,LOF,all_faults,0.5560165975103735,0.978102189781022,0.708994708994709,0.9872593385822708,2400,137
20260406,LOF,motor_stall,0.2464788732394366,1.0,0.3954802259887006,0.9981566820276496,2298,35
20260406,LOF,gradual_sensor_drift,0.1640625,1.0,0.2818791946308724,0.9967384213959556,2284,21
20260406,LOF,accelerated_battery_degradation,0.1954887218045112,1.0,0.3270440251572327,0.992334885618138,2289,26
20260406,LOF,gps_jitter_spoofing,0.1893939393939394,0.925925925925926,0.3144654088050314,0.9543542658876288,2290,27
20260406,LOF,intermittent_software_hang,0.2014925373134328,0.9642857142857144,0.3333333333333333,0.9935452307303833,2291,28
20260406,LSTM Autoencoder,all_faults,0.4111675126903553,0.5912408759124088,0.4850299401197604,0.8297278693714087,2120,137
20260406,LSTM Autoencoder,motor_stall,0.2266666666666666,0.9714285714285714,0.3675675675675676,0.9851883870038184,2018,35
20260406,LSTM Autoencoder,gradual_sensor_drift,0.1470588235294117,0.9523809523809524,0.2547770700636942,0.968301995533463,2004,21
20260406,LSTM Autoencoder,accelerated_battery_degradation,0.0,0.0,0.0,0.3889600062066022,2009,26
20260406,LSTM Autoencoder,gps_jitter_spoofing,0.064516129032258,0.2962962962962963,0.1059602649006622,0.8227526568424197,2010,27
20260406,LSTM Autoencoder,intermittent_software_hang,0.1407407407407407,0.6785714285714286,0.2331288343558282,0.9474821698724876,2011,28
20260407,Isolation Forest,all_faults,0.5125,0.4606741573033708,0.4852071005917159,0.8607919780742118,2400,178
20260407,Isolation Forest,motor_stall,0.25,0.8125,0.3823529411764705,0.9808871512151216,2254,32
20260407,Isolation Forest,gradual_sensor_drift,0.2777777777777778,0.75,0.4054054054054054,0.9493024302430244,2262,40
20260407,Isolation Forest,accelerated_battery_degradation,0.037037037037037,0.0666666666666666,0.0476190476190476,0.7614461446144616,2267,45
20260407,Isolation Forest,gps_jitter_spoofing,0.025,0.0666666666666666,0.0363636363636363,0.7163366336633663,2252,30
20260407,Isolation Forest,intermittent_software_hang,0.2121212121212121,0.6774193548387096,0.3230769230769231,0.906622920356552,2253,31
20260407,One-Class SVM,all_faults,0.4690026954177897,0.9775280898876404,0.6338797814207651,0.9853052721002438,2400,178
20260407,One-Class SVM,motor_stall,0.1397379912663755,1.0,0.2452107279693486,0.9972997299729972,2254,32
20260407,One-Class SVM,gradual_sensor_drift,0.1652542372881356,0.975,0.2826086956521739,0.9934518451845183,2262,40
20260407,One-Class SVM,accelerated_battery_degradation,0.1859504132231405,1.0,0.313588850174216,0.9836583658365836,2267,45
20260407,One-Class SVM,gps_jitter_spoofing,0.1205357142857142,0.9,0.2125984251968504,0.952925292529253,2252,30
20260407,One-Class SVM,intermittent_software_hang,0.1359649122807017,1.0,0.2393822393822393,0.9961383235097704,2253,31
20260407,LOF,all_faults,0.4223300970873786,0.9775280898876404,0.5898305084745763,0.9846782431052092,2400,178
